rozmiar tablicy;dodanie na start;usuniecie ze startu;dodanie na koncu;usuniecie z konca;dodanie na pozycji;usuniecie z pozycji;szukanie;
20000;0.0378888;0.0155115;0.0152572;0.0152572;0.0144944;0.0129687;0.015003;
20000;0.0350917;0.0134772;0.0129687;0.0132229;0.0132229;0.129432;0.0251744;
20000;0.0320402;0.0139858;0.0129687;0.0129687;0.0134772;0.0157658;0.0223773;
20000;0.0363631;0.0289888;0.0134772;0.0142401;0.0142401;0.0246659;0.0267002;
20000;0.0661147;0.0175458;0.0132229;0.0127144;0.0132229;0.0129687;0.0294973;
20000;0.0358545;0.0233944;0.015003;0.0155115;0.0132229;0.0231401;0.0320402;
20000;0.0322945;0.0132229;0.0129687;0.0129687;0.0132229;0.0129687;0.0350917;
20000;0.0328031;0.0134772;0.0129687;0.0129687;0.0132229;0.0127144;0.0498403;
20000;0.0282259;0.0132229;0.0129687;0.0129687;0.0129687;0.0129687;0.0147487;
20000;0.0635718;0.0139858;0.015003;0.0132229;0.0572147;0.0231401;0.0175458;
20000;0.0396688;0.0216144;0.0132229;0.0134772;0.0132229;0.0188173;0.0447546;
20000;0.0381431;0.0155115;0.0152572;0.0142401;0.0160201;0.0172915;0.0528918;
20000;0.0356002;0.0137315;0.0132229;0.0129687;0.0129687;0.0129687;0.0526375;
20000;0.047806;0.0147487;0.0160201;0.0134772;0.0310231;0.0139858;0.0208516;
20000;0.0325488;0.0236487;0.0129687;0.0129687;0.0134772;0.020343;0.00991721;
20000;0.0325488;0.0152572;0.015003;0.015003;0.0132229;0.0129687;0.0462803;
20000;0.0322945;0.0134772;0.0129687;0.0127144;0.0129687;0.0193258;0.0190716;
